sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
design control procedures for new device development,,0.435715,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,414,6. The MSO shall only be used to power the console cabinet (Continued),234-235,"resolution process, DND15 DR Handling Work Instruction Device records: D45739 HAL 4.0 Design and Development Plan D52172 Halcyon 4.0 Verification Plan D54550 HAL 4.0 Validation Plan P Page 235 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U 5.1.10 [B, C] The items to be controlled include tools, items or settings, used to develop the MEDICAL DEVICE SOFTWARE, which could impact the MEDICAL DEVICE SOFTWARE Procedures used: NPV 01 Process Software (PSW) Validation Procedure identifies control items. DND04T01 Design and Development Plan (DDP) includes tools and configuration management in Sections 5 Device records: D45739 HAL 4.0 Design and Development Plan P 5.1.11 [B, C] The MANUFACTURER plans to place CONFIGURATION ITEMS under documented configuration management control before they are VERIFIED Procedures used: DND07F04 Test Readiness Reviews (TRRs) ensure that items are controlled before"
design control procedures for new device development,,0.429260164,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,401,4 Supply voltage: (Continued),243,"5.1.10 [B, C] The items to be controlled include tools, items or settings, used to develop the MEDICAL DEVICE SOFTW ARE, which could impact the MEDICAL DEVICE SOFTW ARE Procedures used (Appendix A): NPV 01 Process Software (PSW ) Validation Procedure Rev 02 identifies control items. DND04T01 Design and Development Plan (DDP) Rev 02 includes tools and configuration management in Sections 5. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P 5.1.11 [B, C] The MANUFACTURER plans to place CONFIGURATION ITEMS under documented configuration management control before they are VERIFIED Procedures used (Appendix A): DND07F04 Test Readiness Reviews (TRRs) Rev 01 ensure that items are controlled before verification testing. Device records (Appendix B): D60703 HAL 4.0 Verification Test Readiness Review TRR1 Rev 02.pdf D60609 HAL 4.0 Verification Test Readiness Review TRR2 Rev 02.pdf D60610 HAL 4.0 Verification Test Readiness Review TRR3 Rev 01.pdf"
design control procedures for new device development,,0.413128018,D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,21,"40 51st Way NE, Suite 100 (Continued)",12,"SPECIFICATION  ..................................................................... : Document References in USABILITY ENGINEERING FILE, including any FORMATVE EVALUATION or required training strategy Summative Usability Test Plan [D67097] Usability Engineering File [D68994] Instructions for Use [P1039628-001-A] GOPS Services Plans [SP- GE-Halcyon40-A] P Where new USE ERRORS, HAZARDS, HAZARDOUS SITUATIONS or HAZARD-RELATED USE SCENARIOS are discovered during this step the MANUFACTURER shall repeat the steps of Clause 5 as appropriate User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure and specifically in DND17 User Centered Design Integration into PLC Planned activities were recorded in the Design and Development Plan [D45739] Usability Engineering File [D68994] P If training on the specific MEDICAL DEVICE is required for the safe us of the MEDICAL DEVICE by the"
design control procedures for new device development,,0.402723581,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,473,6. The MSO shall only be used to power the console cabinet (Continued),287,"TRF No. IEC60601_1U 8.2.1 [A, B, C] The MANUFACTURER changes CONFIGURATION ITEMS identified to be controlled according to 8.1 only in response to an approved CHANGE REQUEST Procedures used: DND19 Software Configuration Management Procedure addresses changes and change requests DND04F01 Change Request documents change and provides for approval DND04T01 Design and Development Plan (DDP) includes configuration management and references DND01 Design and Development Procedure; DND01 Design and Development Procedure includes Design & Development Plan Device records: D45739 HAL 4.0 Design and Development Plan P 8.2.2 [A, B, C] The MANUFACTURER implements the change as specified in the CHANGE REQUEST Procedures used: DND04F01 Change Request documents change and provides for approval Implementation follows DND01 Design and Development Procedure DND04T01 Design and Development Plan (DDP) references DND01 Design and Development Procedure; DND01 Design and Development Procedure"
design control procedures for new device development,,0.401444763,104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,474,4 Supply voltage: (Continued),303,"Request Rev 05 approvals are placed in the project records of the Design History File for each project Device records (Appendix B): Design History File Index P 8.3 [A, B, C] The MANUFACTURER retains retrievable records of the history of controlled CONFIGURATION ITEMS including SYSTEM configuration Procedures used (Appendix A): Configuration item history is retained as described in DND19 Software Configuration Management Procedure Rev 02 Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Rev 02. Device records (Appendix B): D45739 HAL 4.0 Design and Development Plan Rev 06.docx P — 9 SOFTW ARE PROBLEM RESOLUTION PROCESS 9.1 [A, B, C] The MANUFACTURER prepares a PROBLEM REPORT for each problem detected in the SOFTW ARE PRODUCT Procedures used (Appendix A): Software problems are entered into the ClearQuest problem database, following DND15 DR Handling W ork Instruction Rev 01 DND08T01 Verification Plan Rev 01 references DND15 DR Handling W ork"
design control procedures for new device development,,0.398795843,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,400,6. The MSO shall only be used to power the console cabinet (Continued),222,"DND04T01 Design and Development Plan (DDP) Device records: D45739 HAL 4.0 Design and Development Plan P c) TRACEABILITY between SYSTEM requirements, software requirements, SOFTWARE SYSTEM test, and RISK CONTROL measures implemented in software Procedures used: Traceability is described in DND01 Design and Development Procedure, which is referenced in the DND04T01 Design and Development Plan (DDP) RSK0101 Medical Device Risk Management DND01 Design and Development Procedure Device records: D45739 HAL 4.0 Design and Development Plan P d) software configuration and change management, including SOUP CONFIGURATION ITEMS and software used to support development Procedures used: DND19 Software Configuration Management Procedure and SOUP are included in the DND04T01 Design and Development Plan (DDP) Software used to support development is included in the Tools section of the DND04T01 Design and Development Plan (DDP) Device records: D45739 HAL 4.0 Design and Development Plan P"
design control procedures for new device development,,0.396097243,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,422,6. The MSO shall only be used to power the console cabinet (Continued),242,"Page 242 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U 5.2.4 [A, B, C] The MANUFACTURER re-EVALUATES the MEDICAL DEVICE RISK ANALYSIS when software requirements are established and update it as appropriate Procedures used: DND01 Design and Development Procedure specifies using the RSK01 Medical Device Risk Management at all phases throughout development. DND04T01 Design and Development Plan (DDP) references the DND01 Design and Development Procedure Device records: D45739 HAL 4.0 Design and Development Plan P 5.2.5 [A, B, C] The MANUFACTURER ensures that existing requirements, including SYSTEM requirements, are re-EVALUATED and updated as appropriate as a result of the software requirements analysis ACTIVITY Procedures used: The DND05G01 Requirements Management Work Instruction specifies review and update of requirements (section 5.1) DND05T02 Product Requirements Document"
design control procedures for new device development,,0.396065503,D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,470,6. The MSO shall only be used to power the console cabinet (Continued),284-285,"Procedures used: RSK01 Medical Device Risk Management specifies the RSK0101T02 Risk Management Report (RMR). The RMR identifies whether added risk control measures are needed. Device records: D56979 HAL 4.0 Risk Management Report P 8 SOFTWARE CONFIGURATION MANAGEMENT PROCESS — 8.1 Configuration identification — 8.1.1 [A, B, C] The MANUFACTURER establishes a scheme for the unique identification of CONFIGURATION ITEMS and their VERSIONS to be controlled according to the development and configuration planning specified in 5.1 Procedures used: DND19 Software Configuration Management Procedure requires identification, including detailed version number Configuration management is documented in the DND04T01 Design and Development Plan (DDP) Device records: D45739 HAL 4.0 Design and Development Plan P 8.1.2 [A, B, C] For each SOUP CONFIGURATION ITEM being used, including standard libraries, the MANUFACTURER documents: P Page 285 of 352                           Report No.106485676MIN-001"
design control procedures for new device development,,0.39286235,D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,52,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.3 Software Maintenance Planning (Continued),27-28,"a) Configuration is managed as per L9043 Software Configuration Management and LL00000101 “Design and Development Process”. 6) for Software of  Unknown Provenance (SOUP) Procedures to evaluate and Implement upgrades, bug fixes, patches, obsolescence: a) Configuration is managed as per L9043 Software Configuration Management LL00000106 Design and Development Plan. b) L3975 mandates contractual change management arrangements to be made. 2.4.4 Design Input/Output Control Procedures &  Work Instructions The following tables show the Design Control Procedures & Work Instructions by Phase: 2.4.4.1 Inception Phase Document ID Description / Title LL00000058 DND05G01 Requirements Management L3976 DND17 UCD Integration into PLC 2.4.4.2 Elaboration Phase Document ID Description / Title Halcyon/Halcyon Evolve China Medical Device Software Description Report This document contains confidential, proprietary information of Varian"
design control procedures for new device development,,0.392064363,D61200 HAL 4.0 DFMEA rev01.pdf,D61200,1,6,2. Design FMEA Summary (Continued),5,permission from Varian Medical Systems. Doc Number Rev. Date Date of last D61200 01 esign Format DND01T01 Rev 02   Page 5 of 166 simulation or testing 3 Some failures associated with similar design in simulation or testing 4 Failure uncertain with changes in existing design or application or usage 5 New technology or design Risk Priority Number (RPN) Calculated Numerical metric (the product of Impact and Occurrence) to establish risk for failure cause/ mechanism.  RPN=I*O Table 1 DFMEA Scoring Controls define requirements for manufacturing tools and manufacturing processes and are listed with the ADLM Work Item number [XXXXXX]. Requirements define what the device will do. Requirements listed against a DFMEA entry show a design input driven from the DFMEA analysis and are listed with the ADLM Work Item number [XXXXXX]. CFM Status – a progressive status and closure of the corresponding failure risk. 1. In Analysis – CFM identified. Failure mode and mechanism are not completely understood.
