sub_query,rerank_score,score,source,document_id,revision,chunk_index,title,page,text_content
technical documentation compliance checklist for jurisdiction requirements,0.23458195,0.385503709,D63983 Halcyon 4.0 UA Checklist Rev 01.pdf,D63983,1,8,3.0 Checklist (Continued),3-4,"D##### test report guidelines. - Record verification in the test report. N/A 24-Jun-22 No CHM, only RUA Halcyon 4.0 UA Checklist Date Doc Number Revision Date of last D63983 01 eSign Varian Confidential DND0602T02 – UA Checklist This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 4 of 6 Task Task Description Done Justification if N/A; Notes Date # Revisions post-Formal 22. Review Revise per reviews. - Verify the accuracy and clarity of changed content with reviewers. Perform a second peer (editorial review) of any major content revisions made after the Formal Review. - Update the Review Report for resolution of the additional findings. - Record and justify any content updates or issues to be deferred to the next release. Done 27-Jul-22 Final DITA QA 23. Run and document a final DITA QA on the UA files: - Verify technical compliance of"
technical documentation compliance checklist for jurisdiction requirements,0.20465964,0.353465259,D77711 Halcyon and Ethos Radiotherapy System 4.0 IFU (P1039628-003-C) Checklist Rev 01.docx.pdf,D77711,1,8,3.0 Checklist (Continued),4,"report. Note: Zoomin help is tested as part of the application; no separate test report is required. N/A 24-Jul-23 Standalone 22. RUA verification Verify the technical function of the standalone RUA, following the Standalone RUA Test Execution Report guidelines. - Record verification in for instance, ADLM, JAMA, or in the test report. - Inform the IAS team about the need to test the RUA in mobile device apps. N/A 24-Jul-23 Revisions 23. post-Formal Review Revise per reviews. - Verify the accuracy and clarity of changed content with reviewers. Perform a second peer (editorial review) of any major content revisions made after the Formal Review. - Update the Review Report for resolution of the additional findings. - Record and justify any content updates or issues to be deferred to the next release. Done 12-Jul-23 24. Final DITA QA Run and document a final DITA QA on the UA files: - Verify technical compliance of files with Varian Information Model including that image"
technical documentation compliance checklist for jurisdiction requirements,0.15316878,0.381764591,D96388 HAL 4.0 UA Legal Information (EU REP Change) UA Checklist Rev 01.docx.pdf,D96388,1,8,3.0 Checklist (Continued),3,"Task Description Done Justification if N/A; Notes Date # Standalone RUA 22. verification Verify the technical function of the standalone RUA, following the Standalone RUA Test Execution Report guidelines. - Record verification in for instance, ADLM, JAMA, or in the test report. - Inform the IAS team about the need to test the RUA in mobile device apps. Limited scope10 Oct 2025 N/A Revisions post-Formal 23. Review Revise per reviews. - Verify the accuracy and clarity of changed content with reviewers. Perform a second peer (editorial review) of any major content revisions made after the Formal Review. - Update the Review Report for resolution of the additional findings. - Record and justify any content updates or issues to be deferred to the next release. Done -13 Oct 2025 Final DITA QA 24. Run and document a final DITA QA on the UA files: - Verify technical compliance of files with Varian Information Model including that image translation strategy is correctly set."
technical documentation compliance checklist for jurisdiction requirements,0.09501305,0.380651116,D84239 HAL 4.0 CRN UA Checklist Rev02.docx.pdf,D84239,2,9,4.0 Checklist (Continued),4,"Page 4 of 6 Task Task Description Done Justification if N/A; Notes Date # - Check that audio is clear and understandable. - Check that subtitles match video. OLH verification 21. OLH only: verify the Help’s technical function, following the D##### test report guidelines. - Record verification in the test report. N/A 1-May-24 Revisions post- 22. Formal Review Revise per reviews. - Verify the accuracy and clarity of changed content with reviewers. Perform a second peer (editorial review) of any major content revisions made after the Formal Review. - Update the Review Report for resolution of the additional findings. - Record and justify any content updates or issues to be deferred to the next release. Handled through PdM Susan Done19-Apr-24 Koehl Final DITA QA 23. Run and document a final DITA QA on the UA files: - Verify technical compliance of files with Varian Information Model including that image translation strategy is correctly set. - Make corrections and note in DITA QA file."
technical documentation compliance checklist for jurisdiction requirements,0.07030385,0.397072345,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,120,2. “Ethos Radiotherapy System ” > 9.5 China Marketing Clearance Strategy > 9.5.1 China documentation requirements (Continued),54,"Where applicable, the following data shall be submitted: Applicability of the Proposed Product to the Standards The proposed product shall comply with applicable mandatory standards. If the structural characteristics, intended use, usage, etc. of the proposed product are inconsistent with the scope of application of mandatory industry standards, the registrant shall explain that the mandatory standards are inapplicable and provide verified certification materials. DOR Product Compliance Engineering CH3.4.2 Conformity Statement and/or Certification CR Where applicable, the following data shall be submitted: 1. Product technical requirements The specific content of the change of product technical requirements shall be clearly clarified if the mandatory standards for medical devices have been revised and involve the change of product technical requirements. 2. Product testing report The testing report for the change of product technical requirements can be submitted in any form as follows:"
technical documentation compliance checklist for jurisdiction requirements,0.05399884,0.375585526,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,102,8.2 EU Marketing Clearance Strategy > 8.2.1 ISD documentation requirements (Continued),52,"IEC 60601-2-1 Test N/A N/A Report, ISD Section 05N/A 16 Essential Requirements Checklist Essential requirements checklist L2431, Essential Requirements Checklist EngineeringNew DTR RoHS StatementTBDEngineeringNewDTR Machinery directive requirements checklist L3689, Machinery New EngineeringDTR Directive checklist 17 Development Responsibilities Development responsibilities Section not used N/A N/A N/A . 18New Core suppliers listL2433, Core SuppliersManufacturingDOR Core Suppliers 19 EU Medical Device Classification EU Medical Device Classification L2449, medical device classification for the European union Regulatory Affairs New DIR"
technical documentation compliance checklist for jurisdiction requirements,0.048767094,0.381103843,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,101,8.2 EU Marketing Clearance Strategy > 8.2.1 ISD documentation requirements (Continued),52,"Quick Reference GuideTBDTechnical publicationsNewDTR Customer Release NoteTBDProduct ManagementNewDTR Periodic Maintenance Inspection Instruction or checklist TBD Product Support Engineering New DTR Installation Product Acceptance TBDProduct Support Engineering New DTR IEC Accompanying Document(s) (per IEC 60976, 60977): - Type Tests - Site Tests and Procedures - Functional Performance Characteristics TBD Engineering and Technical Publications New DTR 11 Construction Material Data L2429, Construction Construction material data Material Data Engineering Manufacturing New DTR 12 Biocompatibility Safety Data Biocompatibility safety data Biocompatibility test Engineering reports New DTR 13 Sterilization Information Sterilization informationNot applicableN/A N/A Not applicable 14 Storage & Expiration Data L9810, Expected Expected Lifetime LifetimeEngineering New DTR Packaging informationNot applicableManufacturingNew DTR 15 Radiation Safety Data Radiation safety data Section not used. See"
technical documentation compliance checklist for jurisdiction requirements,0.04426588,0.383479565,D77711 Halcyon and Ethos Radiotherapy System 4.0 IFU (P1039628-003-C) Checklist Rev 01.docx.pdf,D77711,1,4,3.0 Checklist (Continued),2,"DDP/SDP features, optional ATL, etc.). - If there are references to other documents, check that those documents still exist, and the references are valid. N/A 17-Jul-23 Regulatory 4. and standards content Collaborate with content owners on required regulatory and standards content per plan. N/A17-Jul-23 5. Graphics Add, review and revise graphics for product changes and best practices (usability, clarity, text separated from graphics for Localization). N/A 17-Jul-23 6. UI [Optional] Review UI elements and strings for clarity and consistency and give feedback to developers. N/A 24-Jul-23 7. RMR Confirm the status of the risk management report (RMR) and tracing of labeling risk items to the UA. N/A 24-Jul-23 Revise UA for fixed issues and N/A 8. Issues/DRs 24-Jul-23 resolved DRs. Product 9. version Verify with Engineering and Regulatory Submissions the product version. N/A 24-Jul-23 10. HIPAA Verify with Engineering project team that HIPAA statement matches product capabilities."
technical documentation compliance checklist for jurisdiction requirements,0.042642392,0.363208145,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,137,8.8 Brazil Marketing Clearance Strategy > 8.8.1 Brazil documentation requirements (Continued),66,"MV-CTMegavoltage Computed Tomography NLSNational Language Support NOCNo Objection Certificate (India) OECDOrganisation for Economic Co-operation and Development OJOfficial Journal of the European Union PRDProduct requirements Document PRSProduct Registration Standard (China) PTRProduct Technical Requirements (China) QAQuality Assurance QMSQuality Management System RARegulatory Affairs RAD sheetsVarian marketing promotional publications  use an alphanumeric cataloging scheme including the string RAD xxxxx RA/QARegulatory Affairs/Quality Assurance Registration, Evaluation, Authorization and Restriction of Chemical REACH Substances Restriction of hazardous substances RoHS SOPStandard Operating Procedures SORStatutory Orders and Regulations (Canada) SQESoftware Quality Engineering SRSStereotactic Radiosurgery SyRSSystem Requirements Specification TACType Approval Certificate (India) TBD To be determined TIRTechnical Informaiton Report TPGTransition Phase Gate UKUnited Kingdom"
technical documentation compliance checklist for jurisdiction requirements,0.04023794,0.396689713,D44918 Halcyon3 UA Checklist IFU Addendum P1038731-001-A Rev 01.pdf,D44918,1,5,2.0 Deliverable Checklist (Continued),2,"Check for fixed DRs. • Verify with Regulatory Submissions that the Intended Use and Indications for Use statements are the latest and correct (IFU content). Done Partially Done; justify: N/A; justify: 16-Oct-2019 Set any conditions. 9 Execution • Verify their display and implementation. • Include a key to their display for reviewers. Done Partially Done; justify: N/A; justify: 17-Jan-2020 Ongoing: Conduct peer / editorial review of 10 Execution content to verify style, clarity, consistency, and Localization-readiness per: • Varian Style Guide • Localization illustration guidelines • Spell checking Done Partially Done; justify: N/A; justify: 17-Jan-2020 Perform DITA XML Quality Assurance (DITA 11 Execution technical review) • Copy the CMS Lead. Done Partially Done; justify: N/A; justify: 17-Jan-2020 Conduct the Formal Review: 12 Execution a. Prepare and update the Review Report (LL40) for review findings. b. Note any conditions set for reviewers."
technical documentation compliance checklist for jurisdiction requirements,0.036631364,0.374485523,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,91,2. “Ethos Radiotherapy System ” > 9.2 EU Marketing Clearance Strategy > 9.2.1 ISD documentation requirements (Continued),41,"EN ISO 10993-1:2018 N/A Compliance Update required DTR EN ISO 17664:2017 N/A Compliance Update required DTR EN ISO 10993-5:2009 N/A Compliance Update required DTR ISO 10993-10: 2010 N/A Compliance Update required DTR EN ISO 10993-12:2012 N/A Compliance Update required DTR EN 60601-2-44:2009+A2:2016  Compliance Update required DTR IEC 60601-2-1 1998 102341812MIN-004 Compliance Update required DTR EN 60950-1:2006*  Compliance Update required DTR IEC 62368-1:2014*  Compliance Update required DTR *=no versions of these standards harmonized  Compliance 8 Manufacturing Information (Crawley and Beijing). Core suppliers list L2433, Core Suppliers Manufacturing Engineering To be reviewed DTR Manufacturing Manufacturing Plan Process Flow D39714 Rev 01 Engineering To be reviewed DTR Manufacturing Readiness Checklist. (From Manufacturing Plan) Manufacturing D34719 Rev03 engineering new DTR Device History Records for all permutations of device, upgrade and manufacturing site. Manufacturing"
technical documentation compliance checklist for jurisdiction requirements,0.03574581,0.388606071,D54978 HAL 4.0 Regulatory Plan Rev 5.0.pdf,D54978,5,89,2. “Ethos Radiotherapy System ” > 9.2 EU Marketing Clearance Strategy > 9.2.1 ISD documentation requirements (Continued),40-41,IEC 60601-1:2005+CORR.1(2006) +CORR.2(2007) 102341812MIN-001 Compliance Update required DTR IEC 60601-1-6:2010(3rd Ed.)  102341812MIN-007 Compliance Update required DTR IEC 60601-2-1:2009+AMD1:2014 (ed3.1) 102341812MIN-004 Compliance Update required DTR IEC 62366: 2015  102341812MIN-008 Compliance Update required DTR Summative Usability Test Report  D38864 Rev 01 Compliance Update required DTR IEC 60601-1-2: 2007 (Third Edition) 103916708MPK-001 Compliance Update required DTR IEC 60601-1-2: 2014 (Fourth Edition) 103916708MPK-002 Compliance Update required DTR IEC 60601-2-32: 1994 (First Edition) 102341812MIN-011 Compliance update required DTR IEC 60601-2-68:2014 (First Edition) 103980293MIN-068 Compliance update required DTR IEC 60976 Ed. 2.  See Functional Performance Characteristics (IEC 60976) in Section 10 P1028966-002-B Compliance update required DTR IEC 62304 Software Lifecycle Assessment D43907 Rev 01 Compliance Update required DTR Regulatory Plan Revision Doc Number 5.0 D54978
technical documentation compliance checklist for jurisdiction requirements,0.035477504,0.352145165,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,48,3.0 Summary of Applicable Standards and Guidance documents > 3.1 Applicable Standards (Continued),18,"This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 18 of 39 # Applicability Identifier  Applicable Nat'l Adoption Applicable Version Title SME function  Evidence required  Comments amending Regulation (EU) 2017/2394 and Directive (EU)to Essential Principles within Article 36. 2020/1828 (Data Act) Regulation requires creation of Information Obligation Document to be included in ISD for affected systems. 3.1.86 Applicable Regulation (EU)N/A 14 December 2021 eIFU: Rules for the application of Regulation (EU) 2017/745 2021/2226of the European Parliament and of the Council as regards electronic instructions for use of medical devices Regulatory Affairs Internal Report/ Certification Following Varian procedures ensures compliance with this regulation. E-labeling checklist demonstrate conformity to the requirements of the regulation. 3.1.87 Applicable"
technical documentation compliance checklist for jurisdiction requirements,0.03179867,0.379439622,D44918 Halcyon3 UA Checklist IFU Addendum P1038731-001-A Rev 01.pdf,D44918,1,8,2.0 Deliverable Checklist (Continued),3-4,"N/A; justify: Not OLH 17-Oct-2019 Perform the final DITA CMS Quality Assurance on 18 Execution the CMS files: • Verify technical compliance of files with Varian Information Model. • Verify that conditions are correctly set. • Verify that the image translation strategy is correctly set. Correct files as needed. Done Partially Done; justify: N/A; justify: 05-Feb-2020 Get signoff of the final DITA QA (technical review) 19 Execution from CMS Lead/Administrator or Senior Technical W riter. For multiversion UA, get a signoff for each bookmap. Done Partially Done; justify: N/A; justify: 06-Feb-2020 Finalize ATL for approved UA. Done 20 Execution Partially Done; justify: N/A; justify: 06-Feb-2020 GPL User Assistance Checklist D44917 Halcyon and Ethos 3.0 UA Checklist IFU-Addendum (P1038731-001-A) Rev. 1.0 This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Date"
technical documentation compliance checklist for jurisdiction requirements,0.031084951,0.377468765,D47457 HAL 4.0 APS Record Rev 04.docx.pdf,D47457,4,47,3.0 Summary of Applicable Standards and Guidance documents > 3.1 Applicable Standards (Continued),17-18,"Machinery Directive checklist demonstrate conformity. 3.1.84 Applicable Regulation (EU)N/A 20 February 2024 SF6: Regulation (EU) 2024/573 of the European Parliament 2024/573and of the Council of 7 February 2024 on fluorinated greenhouse gases, amending Directive (EU) 2019/1937 and repealing Regulation (EU) No 517/2014 (Text with EEA relevance) Product Compliance Declaration of Conformity Regulation requires declaration of conformity in accordance with Article 4, paragraph 6. 3.1.85 Applicable Regulation (EU)N/A 13 December 2023  EU Data Act: Regulation (EU) 2023/2854 of the European 2023/2854Parliament and of the Council of 13 December 2023 on harmonised rules on fair access to and use of data and Label or Labelling Regulatory Affairs Enforcement 12 Sept.2025 Following Varian procedures ensures compliance with Act. Regulation requires declaration of conformity Applicable Product Standards Record HAL 4.0 Revision Doc Number 04 D47457 Varian Confidential REG0505F01 Rev 07"
technical documentation compliance checklist for jurisdiction requirements,0.029256709,0.366019309,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,117,8.5 China Marketing Clearance Strategy > 8.5.1 China documentation requirements (Continued),58,US Government DTR Regulatory Affairs document In-country Testing ReportNot a Varian documentVMS BeijingDTR China Software Summary DTR See TrueBeam exampleRA Report Product Technical Requirements (PTR) Formerly known as the Product Registration Standard (PRS). The PTR document follows a specific template model to be provided by the China RA Specialist. RADTR Temperature-Humidity environmental withstand DTR To be developedRA Compliance lead report per GB/T 14710-2009 Additional documents may be requested as needed.
technical documentation compliance checklist for jurisdiction requirements,0.028598359,0.391497701,D30786 Halcyon 2.0 Regulatory Plan Rev 1.0.doc.pdf,D30786,1,99,8.2 EU Marketing Clearance Strategy > 8.2.1 ISD documentation requirements (Continued),51,"New DTR 4 Feature/ Specification Equivalence Feature/Specification Equivalence Halcyon 2.0 Feature Comparison ChartProduct Management New DIR 5 Design & Performance Data Verification & Validation Summary Report LL00000025, Verification & Validation Summary Report (VVSR) SQE New DOR Design Trace MatrixNew Validation trace matrixEngineeringDOR System verification test New Design Trace Matrix EngineeringDOR matrix Installation Product Product Support TBD Acceptance (IPA)Engineering New DTR Final manufacturing New TBDManufacturing, BeijingDTR acceptance test report(s) IEC Test Reports (specific tests & testing requirements defined in Engineering requirements documentation) – See Section 7 of this Regulatory Plan for list of IEC Standards requiring test reports Engineering All IEC test reportsTBD Product compliance New DOR 6 Clinical Data Review L00003237, Clinical Clinical Data EvaluationMedical Affairs Data Evaluation New DOR 7LL00000018, Risk New"
