filename,document_id,revision,folder_type,subfolder,local_path
102341812MIN-003a - HAL4.0 - IEC 60601-1-3.pdf,102341812,,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\102341812MIN-003a - HAL4.0 - IEC 60601-1-3.pdf
102341812MIN-005_CDR Halcyon 4.0 issued 30 Sep 2022.pdf,102341812,,Regulatory,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\102341812MIN-005_CDR Halcyon 4.0 issued 30 Sep 2022.pdf
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf
104993953MIN-002 - HAL4.0 - IEC 60601-2-1.pdf,104993953,,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\104993953MIN-002 - HAL4.0 - IEC 60601-2-1.pdf
104993953MIN-006_IEC 60601-1-6_2010 AMD1_2013 AMD2_2020_issued 16 Sep 2022.pdf,104993953,,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\104993953MIN-006_IEC 60601-1-6_2010 AMD1_2013 AMD2_2020_issued 16 Sep 2022.pdf
105008743MPK-002 rev2 - HAL4.0 - IEC 60601-1-2.pdf,105008743,2,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\105008743MPK-002 rev2 - HAL4.0 - IEC 60601-1-2.pdf
70001791 Rev0.2 HAL4.0 KV collimator motion test PCP.pdf,70001791,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\70001791 Rev0.2 HAL4.0 KV collimator motion test PCP.pdf
70002111-HSE-ENU-0.1_ PCP for HAL 4.0 LATE-STAGE CONFIGURATION KV INSTALLATION_CRATE.pdf,70002111,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\70002111-HSE-ENU-0.1_ PCP for HAL 4.0 LATE-STAGE CONFIGURATION KV INSTALLATION_CRATE.pdf
"70002131, Rev.0.1 - Process Control Plan for Packaging-HAL4.0 BASIC KV IMAGING KIT (Beijing) .pdf",70002131,1,Design Transfer,Manufacturing Documentation,"C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\70002131, Rev.0.1 - Process Control Plan for Packaging-HAL4.0 BASIC KV IMAGING KIT (Beijing) .pdf"
"70002133, Rev.0.1 - Process Control Plan for Packaging-HAL4.0 ASSY EXIO UPGRADE KIT (Beijing).pdf",70002133,1,Design Transfer,Manufacturing Documentation,"C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\70002133, Rev.0.1 - Process Control Plan for Packaging-HAL4.0 ASSY EXIO UPGRADE KIT (Beijing).pdf"
